,date,XAUUSD Open,XAUUSD Low,XAUUSD High,XAUUSD Close,XAUUSD Adj. Close,XAUUSD Vol  (1M),XAUUSD Vol  (3M),XAUUSD Vol  (6M),M1 USD (B),M2 USD (B)
797,2005-07-04,428.06,426.35,428.15,427.9,427.9,11.34,10.25,10.46,1375.6,6503.1
798,2005-06-27,439.45,438.64,440.45,439.8,439.8,9.64,9.41,10.6,1395.5,6508.2
799,2005-06-20,438.13,437.44,441.3,437.9,437.9,9.61,9.29,10.83,1389.9,6501.5
800,2005-06-13,426.95,424.0,430.67,428.9,428.9,8.87,9.81,10.6,1372.6,6480.8
801,2005-06-06,422.55,422.55,427.35,425.95,425.95,9.43,9.93,10.93,1361.7,6470.9
802,2005-05-30,420.25,418.2,420.25,418.55,418.55,8.38,9.99,11.23,1379.4,6459.3
803,2005-05-23,417.55,416.92,418.45,417.55,417.55,9.08,9.93,11.6,1367.4,6462.7
804,2005-05-16,420.8,418.15,420.8,419.75,419.75,10.81,10.56,11.59,1357.6,6458.7
805,2005-05-09,426.3,424.84,426.7,426.1,426.1,10.71,10.79,11.71,1361.8,6459.6
806,2005-05-02,434.45,428.87,434.45,429.8,429.8,10.16,10.89,11.7,1360.4,6451.6
807,2005-04-25,434.1,432.6,434.9,434.7,434.7,8.27,10.54,11.85,1361.7,6445.5
808,2005-04-18,424.7,423.29,428.08,427.35,427.35,9.43,10.77,11.82,1355.1,6443.8
809,2005-04-11,426.9,426.3,429.9,428.0,428.0,9.45,10.52,11.85,1355.3,6435.8
810,2005-04-04,426.0,422.55,426.72,424.25,424.25,11.01,11.06,12.07,1361.1,6436.4
811,2005-03-28,425.0,423.55,426.55,426.2,426.2,11.9,11.74,12.39,1378.4,6438.1
812,2005-03-21,439.13,429.22,439.75,431.2,431.2,13.41,12.1,12.48,1376.3,6431.1
813,2005-03-14,445.5,440.09,445.5,440.98,440.98,11.23,11.62,12.23,1370.1,6422.4
814,2005-03-07,434.6,432.41,435.43,434.55,434.55,10.43,11.76,12.0,1362.8,6419.3
815,2005-02-28,434.88,434.7,437.8,435.65,435.65,11.3,12.95,12.03,1380.5,6424.7
816,2005-02-21,427.4,426.24,427.98,427.45,427.45,10.64,12.54,12.03,1381.5,6427.8
817,2005-02-14,420.5,420.5,426.34,425.75,425.75,11.34,12.78,12.41,1368.7,6413.2
818,2005-02-07,414.75,412.75,416.33,413.4,413.4,10.49,12.64,12.46,1353.7,6412.6
819,2005-01-31,426.35,419.79,426.59,422.6,422.6,12.56,12.71,12.51,1364.9,6402.4
820,2005-01-24,426.65,426.65,428.1,427.35,427.35,12.22,12.84,12.49,1362.7,6405.6
821,2005-01-17,422.38,421.2,423.34,422.13,422.13,11.67,12.86,12.47,1348.5,6403.5
822,2005-01-10,419.35,418.9,421.75,419.63,419.63,13.31,12.96,12.72,1347.5,6384.6
823,2005-01-03,438.0,427.2,438.05,429.55,429.55,15.06,13.27,12.85,1373.7,6374.9
824,2004-12-27,442.5,442.45,445.55,444.35,444.35,14.82,12.79,13.0,1387.5,6419.3
825,2004-12-20,441.63,440.9,444.06,442.99,442.99,14.91,12.88,13.34,1380.0,6416.1
826,2004-12-13,434.13,434.13,440.07,438.85,438.85,14.63,12.56,13.28,1369.7,6399.6
827,2004-12-06,455.5,451.04,456.38,452.25,452.25,11.03,11.21,13.13,1359.6,6392.9
828,2004-11-29,452.0,449.54,454.85,453.95,453.95,10.27,11.05,13.08,1387.5,6390.0
829,2004-11-22,446.75,446.05,448.97,448.94,448.94,11.21,11.34,13.19,1379.2,6393.6
830,2004-11-15,437.63,436.03,440.35,436.75,436.75,11.16,12.06,13.21,1371.2,6387.2
831,2004-11-08,433.55,431.2,435.25,431.95,431.95,12.47,12.34,13.47,1363.9,6374.6
832,2004-11-01,428.55,426.21,430.56,427.55,427.55,12.26,12.18,13.2,1352.8,6381.7
833,2004-10-25,425.13,425.13,430.69,428.45,428.45,12.28,12.11,13.82,1368.5,6368.0
834,2004-10-18,418.63,416.25,420.34,416.25,416.25,12.35,12.19,14.53,1359.7,6355.1
835,2004-10-11,422.6,421.06,423.5,422.05,422.05,10.32,12.2,14.63,1365.5,6348.6
836,2004-10-04,419.38,411.8,419.38,414.05,414.05,10.59,12.6,15.2,1364.4,6341.2
837,2004-09-27,407.88,407.45,410.35,408.63,408.63,10.56,13.24,15.15,1372.0,6348.8
838,2004-09-20,405.25,403.55,405.75,405.05,405.05,11.93,14.02,15.33,1372.2,6341.5
839,2004-09-13,402.65,399.3,404.9,403.95,403.95,13.65,14.47,15.64,1359.9,6320.8
840,2004-09-06,401.05,400.65,403.05,402.55,402.55,13.7,14.61,15.74,1342.3,6308.5
841,2004-08-30,403.05,402.95,409.1,408.05,408.05,13.92,14.98,15.88,1351.4,6298.2
842,2004-08-23,412.85,408.55,412.85,409.95,409.95,11.57,14.67,16.01,1362.5,6305.5
843,2004-08-16,398.85,398.55,403.6,402.25,402.25,12.64,14.59,16.16,1355.2,6301.5
844,2004-08-09,399.65,398.0,400.95,400.25,400.25,12.81,14.61,16.67,1352.0,6285.9
845,2004-08-02,390.95,390.95,394.8,392.15,392.15,15.51,15.2,16.58,1346.8,6281.8
846,2004-07-26,390.15,388.65,392.55,388.95,388.95,16.89,15.37,16.8,1347.6,6278.2
847,2004-07-19,406.75,404.45,407.97,405.65,405.65,16.32,16.37,17.21,1337.2,6268.0
848,2004-07-12,407.95,405.53,408.89,407.95,407.95,16.96,16.42,17.12,1341.1,6269.4
849,2004-07-05,397.95,397.35,399.25,398.25,398.25,15.52,16.56,17.04,1330.1,6256.5
850,2004-06-28,402.35,399.7,405.1,400.88,400.88,14.18,16.49,17.03,1353.0,6259.3
851,2004-06-21,394.85,392.85,397.35,393.85,393.85,14.33,16.85,16.9,1348.0,6260.6
852,2004-06-14,384.85,382.65,386.35,383.55,383.55,13.4,16.46,16.48,1345.7,6259.4
853,2004-06-07,390.75,390.75,394.45,393.75,393.75,11.79,16.97,16.42,1327.8,6250.1
854,2004-05-31,393.45,393.45,395.82,395.55,395.55,15.3,17.25,16.36,1323.1,6259.4
855,2004-05-24,384.45,383.5,386.9,385.55,385.55,18.49,17.25,16.29,1335.6,6256.2
856,2004-05-17,376.95,376.75,383.55,379.15,379.15,18.23,18.37,16.26,1336.0,6269.2
857,2004-05-10,379.05,371.65,379.55,378.75,378.75,20.16,18.47,16.63,1328.0,6247.5
858,2004-05-03,386.85,385.9,389.6,387.15,387.15,18.81,18.13,16.29,1357.7,6226.4
859,2004-04-26,395.15,393.7,398.05,396.35,396.35,16.82,17.82,15.89,1334.6,6195.8
860,2004-04-19,401.25,400.05,405.93,401.05,401.05,17.41,17.69,15.79,1327.1,6163.6
861,2004-04-12,420.05,417.6,422.1,418.65,418.65,14.25,17.54,15.48,1330.1,6160.2
862,2004-04-05,420.85,413.85,422.55,415.65,415.65,15.73,17.54,15.4,1321.9,6161.7
863,2004-03-29,421.45,416.7,421.95,417.85,417.85,16.39,17.37,15.33,1334.1,6156.1
864,2004-03-22,411.65,411.25,418.7,417.25,417.25,16.87,16.88,15.94,1335.8,6148.6
865,2004-03-15,395.25,395.25,400.55,399.48,399.48,19.67,16.37,16.04,1329.7,6128.3
866,2004-03-08,401.25,398.0,401.63,401.45,401.45,18.61,16.04,15.85,1318.5,6112.5
867,2004-03-01,396.25,396.25,402.85,399.55,399.55,17.82,15.35,15.81,1318.4,6117.5
868,2004-02-23,398.35,396.45,400.4,398.65,398.65,19.43,14.75,15.55,1320.3,6107.8
869,2004-02-16,410.15,409.55,411.8,411.65,411.65,16.18,13.52,15.3,1328.2,6103.4
870,2004-02-09,403.55,402.25,407.55,406.75,406.75,18.34,14.44,15.68,1321.0,6084.6
871,2004-02-02,402.35,394.45,403.45,398.35,398.35,18.52,14.38,15.75,1312.3,6084.8
872,2004-01-26,407.85,403.75,409.2,404.05,404.05,14.64,13.5,15.13,1307.9,6071.0
873,2004-01-19,406.55,406.45,409.05,407.25,407.25,13.32,13.59,15.58,1307.5,6056.6
874,2004-01-12,426.95,423.23,428.95,424.45,424.45,9.66,12.88,15.44,1300.4,6051.7
875,2004-01-05,415.15,415.05,424.9,423.65,423.65,9.62,13.2,15.56,1303.0,6053.0
876,2003-12-29,412.25,411.4,415.65,414.58,414.58,8.71,14.98,15.51,1302.8,6053.1
877,2003-12-22,408.75,407.65,411.6,410.05,410.05,10.99,15.37,15.58,1308.4,6056.4
878,2003-12-15,406.15,401.55,410.9,409.75,409.75,13.71,15.69,15.85,1311.8,6054.1
879,2003-12-08,406.05,404.93,409.35,406.75,406.75,14.14,15.89,16.2,1304.9,6052.5
880,2003-12-01,397.75,396.75,403.45,402.25,402.25,16.24,16.42,16.76,1290.7,6061.1
881,2003-11-24,396.05,390.33,396.5,391.48,391.48,16.5,16.56,17.01,1293.0,6049.6
882,2003-11-17,397.05,385.83,399.55,391.05,391.05,16.44,16.81,16.92,1297.7,6061.8
883,2003-11-10,383.15,382.5,387.4,385.95,385.95,14.58,16.79,17.32,1306.2,6057.5
884,2003-11-03,384.45,376.05,385.15,376.65,376.65,15.67,17.18,17.31,1316.5,6044.4
885,2003-10-27,387.95,385.65,388.65,387.95,387.95,18.03,17.14,17.11,1298.2,6055.7
